#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene1074	Usp40	protein_coding
gene10740	LOC102640594	N/A
gene10741	Gm6673	unprocessed_pseudogene
gene10742	Gm3495	protein_coding
gene10743	Speer4f	protein_coding
gene10745	LOC102633823	N/A
gene10746	Sema3c	protein_coding
gene10747	Cd36	protein_coding
gene10748	LOC102633896	N/A
gene10749	Gnat3	protein_coding
gene1075	Gm5832	processed_pseudogene
gene10750	Gnai1	protein_coding
gene10751	Gm3527	N/A
gene10752	LOC102634084	N/A
gene10754	4921504A21Rik	antisense
gene10755	LOC102634548	N/A
gene10756	Magi2	protein_coding
gene10758	LOC102634432	N/A
gene10759	Gm3544	N/A
gene10760	LOC102634355	N/A
gene10761	Phtf2	protein_coding
gene10762	LOC102634666	N/A
gene10764	Tmem60	protein_coding
gene10765	Rsbn1l	protein_coding
gene10766	A630072M18Rik	antisense
gene10767	Ptpn12	protein_coding
gene1077	Ugt1a10	protein_coding
gene10770	Gsap	protein_coding
gene10771	Ccdc146	protein_coding
gene10772	Fgl2	protein_coding
gene10773	Fam185a	protein_coding
gene10774	Fbxl13	protein_coding
gene10775	Lrrc17	protein_coding
gene10776	Gm6543	N/A
gene10777	Armc10	protein_coding
gene10778	Napepld	protein_coding
gene1078	Ugt1a9	protein_coding
gene10780	Pmpcb	protein_coding
gene10781	LOC102634879	N/A
gene10782	Dnajc2	protein_coding
gene10783	Psmc2	protein_coding
gene10784	Slc26a5	protein_coding
gene10785	Reln	protein_coding
gene10786	LOC102635084	N/A
gene10787	Gm16111	processed_pseudogene
